Name,ABN,Total income $,Taxable income $,Tax payable $,Income year
AUSTRALIAN LOGISTICS ACQUISITION HOLDINGS PTY LTD,28611628909,2459568671,0,0,2020-21
AUSTRALIAN MEAT GROUP PTY LTD,75168396316,503186249,2606538,0,2020-21
AUSTRALIAN MOTOR GROUP PTY LTD,67095047902,366255590,29601230,7952281,2020-21
AUSTRALIAN NATURE INVESTMENT PTY LTD,16611339621,403698183,8616736,1098269,2020-21
AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED,57000004320,4751653725,52415943,15056097,2020-21
AUSTRALIAN PIPELINE TRUST,21858175226,2605672157,173668990,46776278,2020-21
AUSTRALIAN POSTAL CORPORATION,28864970579,8179517688,287221985,86056868,2020-21
AUSTRALIAN RAIL TRACK CORPORATION LIMITED,75081455754,890165462,0,0,2020-21
AUSTRALIAN UNITY LIMITED,23087648888,1709075606,52622903,10042845,2020-21
AUSTRALIAN VENUE CO. HOLDINGS LIMITED,90619977070,248220513,8733905,0,2020-21
AUSTRALIAN VINTAGE LIMITED,78052179932,275181362,5971023,1791247,2020-21
AUSTRALIANSUPER PTY LTD,94006457987,624824026,63480,19044,2020-21
AUSTREO COMMERCIAL VENTURES PTY LTD,19618406901,207440309,92568816,27770645,2020-21
AUSWIDE BANK LTD,40087652060,121361003,33209182,9939003,2020-21
AUTO & GENERAL HOLDINGS PTY LTD,84086321459,401035858,44445259,13333578,2020-21
AUTO & GENERAL INSURANCE COMPANY LTD,42111586353,1378698859,166410255,49923076,2020-21
AUTO CLASSIC (W.A.) PTY LTD,66009124690,243674864,7482143,2244643,2020-21
AUTO CORNER PTY LTD,45009905079,236534937,15639462,4691839,2020-21
AUTOMATIC DATA PROCESSING LIMITED,70003924945,201944876,45807138,12898291,2020-21
AUTOMOTIVE IMPORTS PTY LTD,29005378727,203805151,9901680,2970504,2020-21
AUTOPACT PTY LTD,44608040606,1214088993,61988211,18596463,2020-21
AUTOSPORTS CASTLE HILL PTY LIMITED,65163974481,298256221,3681319,1104396,2020-21
AUTOSPORTS FIVE DOCK PTY LTD,95118786762,123471652,0,0,2020-21
AUTOSPORTS LEICHHARDT PTY LTD,38161160765,189069543,0,0,2020-21
AVANADE AUSTRALIA PTY LIMITED,58093925207,243847790,45222968,13538756,2020-21
AVANT MUTUAL GROUP LIMITED,58123154898,731737814,119255144,32486047,2020-21
AVENG AUSTRALIA HOLDINGS PTY LTD,33108058331,1071541998,0,0,2020-21
AVERY PROPERTIES PTY LTD,40007713564,162998202,12653593,3796078,2020-21
AVID PROPERTY GROUP HOLDINGS PTY LTD,46608054833,643368474,86067358,25820207,2020-21
AVIS MANAGEMENT PTY LTD,50001889336,649381640,17791465,5337440,2020-21
AVJENNINGS LIMITED,44004327771,298065277,20733166,6219950,2020-21
AWP AUSTRALIA HOLDINGS PTY LTD,NA,157308989,0,0,2020-21
AXICOM HOLDCO PTY LTD,78605798829,230300104,52000172,15600052,2020-21
AXICORP FINANCIAL SERVICES PTY LTD,85127606348,278966618,37542468,11262740,2020-21
B & E FOODS PTY LTD,69629618837,215447500,11834003,3550201,2020-21
B&W RURAL PTY LTD,33068943528,150926248,10734823,3220447,2020-21
B. BRAUN AUSTRALIA PTY LTD,56002945155,123747275,2375206,711580,2020-21
B.M.D. HOLDINGS PTY. LIMITED,47010093348,1186745914,79880346,12836855,2020-21
BABCOCK & BROWN INTERNATIONAL PTY LTD,76108617483,507836355,0,0,2020-21
BABCOCK AUSTRALIA HOLDINGS PTY LTD,99602953739,318534992,6928569,0,2020-21
BABY BUNTING GROUP LIMITED,58128533693,470843375,15017945,4505383,2020-21
BAC HOLDINGS LIMITED,67108568038,733481050,0,0,2020-21
BADGE GROUP HOLDINGS PTY LTD,18606660271,318971898,9351725,2139308,2020-21
BAE SYSTEMS AUSTRALIA HOLDINGS LIMITED,44008648333,1061639392,123483789,26293078,2020-21
BAIADA POULTRY PTY LIMITED,96002925948,2299929708,63402862,19020859,2020-21
BAIN INTERNATIONAL INC,29003850619,175154240,40064146,11207733,2020-21
BAKER HUGHES GROUP AUSTRALIA PTY LTD,77618893226,1201026418,30269666,9080900,2020-21
BALL & DOGGETT GROUP PTY LTD,59146091625,290945748,5901836,1770551,2020-21
BALVERONA PTY LTD,78002826173,1070663099,72989434,21881969,2020-21
BANK AUSTRALIA LIMITED,21087651607,227472372,54994048,16371459,2020-21
BANK OF AMERICA NATIONAL ASSOCIATION,51064874531,734045538,127099970,38129991,2020-21
BANK OF CHINA (AUSTRALIA) LIMITED,28110077622,116340473,35459160,10637712,2020-21
